主要违法违规事实（案由）,作出处罚决定的日期,作出处罚决定的机关名称,处罚个人单位,处罚个人姓名,处罚单位名称,处罚单位法定代表人（主要负责人）姓名,行政处罚依据,行政处罚决定,行政处罚决定书文号
当事人存在贷款“三查”不尽职的违法行为，违反了《个人贷款管理暂行办法》第十三条和《贷款通则》第三十一条的规定。,2016年12月30日,中国银行业监督管理委员会海南监管局,null,-----,中国工商银行股份有限公司海南省分行,胡晔,《个人贷款管理暂行办法》第四十二条和《中华人民共和国银行业监督管理法》第四十六条第五款的规定。,给予当事人人民币三十万元的行政处罚,  琼银监罚〔2016〕6号
    当事人存在未按合同约定用途检查、监督信贷资金使用情况，信贷资金被挪用的违法违规行为，违反了《流动资金贷款管理暂行办法》第九条的规定。,2015年10月16日,中国银行业监督管理委员会海南监管局,null,-----,平安银行股份有限公司海口分行  ,蒋明光,    《流动资金贷款管理暂行办法》第三十九条第七款和《中华人民共和国银行业监督管理法》第四十六条第五款规定。,给予当事人人民币二十五万元的行政处罚,    琼银监罚〔2015〕19号
    当事人存在未对借款人的贷款资金使用情况进行跟踪检查和监控分析的违法违规行为，违反了《个人贷款管理暂行办法》第三十五条的规定。,2015年10月16日,中国银行业监督管理委员会海南监管局,null,-------,中国光大银行股份有限公司海口分行,张轶昌,  《个人贷款管理暂行办法》第四十二条及《中华人民共和国银行业监督管理法》第四十六条第五款规定。,给予当事人人民币二十五万元的行政处罚,     琼银监罚〔2015〕18号
"    当事人存在放任借款人将流动资金贷款用于固定资产投资的违法违规行为,违反了《流动资金贷款管理暂行办法》第九条的规定。",2015年9月28日,中国银行业监督管理委员会海南监管局,null,-------,澄迈县农村信用合作联社,周世才,   《中华人民共和国银行业监督管理法》第四十六条第五款及《流动资金贷款管理暂行办法》第三十九条第四款规定。,给予当事人人民币五十万元的行政处罚,    琼银监罚〔2015〕17号
"    当事人存在受理不符合条件的固定资产贷款申请并发放贷款的违法违规行为,违反了《固定资产贷款管理暂行办法》第九条第七款规定。",2015年9月28日,中国银行业监督管理委员会海南监管局,null,-----,海口市农村信用合作联社,辛全龙,   《中华人民共和国银行业监督管理法》第四十六条第五款和《固定资产贷款管理暂行办法》第三十九条第一款规定。,给予当事人人民币五十万元的行政处罚,     琼银监罚〔2015〕16号
"    当事人存在受托支付执行不到位，信贷资金被挪用的违法违规行为,违反了《固定资产贷款管理暂行办法》第二十四条和第二十六条的规定。",2015年9月28日,中国银行业监督管理委员会海南监管局,null,-----,文昌市农村信用合作联社,孙恒保,    《中华人民共和国银行业监督管理法》第四十六条第五款及《固定资产贷款管理暂行办法》第三十九条第六款规定。,给予当事人人民币五十万元的行政处罚,    琼银监罚〔2015〕15号
"    当事人存在受理不符合条件的固定资产贷款申请并发放贷款和未按合同约定用途检查、监督信贷资金使用情况，信贷资金被挪用的违法违规行为,违反了《固定资产贷款管理暂行办法》第七条、第九条第六款以及第二十二条规定。",2013年11月15日,中国银行业监督管理委员会海南监管局,null,-----,海口农村商业银行股份有限公司,赵俊, 《中华人民共和国银行业监督管理法》第四十六条第五款以及第四十八条第一款和《固定资产贷款管理暂行办法》第三十九条第一款、第六款规定。,"    给予当事人人民币二十万元的行政处罚,责令对责任人吴X、杨XX进行纪律处分。",    琼银监罚〔2013〕4号
"    当事人存在贷款支付审查不尽职和未按合同约定用途检查、监督信贷资金使用情况，信贷资金被挪用的违法违规行为,违反了《流动资金贷款管理暂行办法》第九条以及第二十七条相关规定。",2013年11月15日,中国银行业监督管理委员会海南监管局,null,-----,海口市农村信用合作联社,辛全龙,   《中华人民共和国银行业监督管理法》第四十六条第五款以及第四十八条第一款和《流动资金贷款管理暂行办法》第三十九条第四款的规定。,"    给予当事人人民币四十万元的行政处罚,责令对责任人邢XX、金XX给予纪律处分。",    琼银监罚〔2013〕3号
"    当事人存在流动资金贷款用于固定资产投资和超贷款集中度比例发放贷款的违法违规行为,违反了《流动资金贷款管理暂行办法》第九条、《中华人民共和国商业银行法》第三十九条第四款规定。",2012年10月31日,中国银行业监督管理委员会海南监管局,null,-----,琼海市农村信用合作联社,钟捷锦,   《中华人民共和国银行业监督管理法》第四十六条第五款和第四十八条第一款、《中华人民共和国商业银行法》第七十五条第三款及《流动资金管理暂行办法》第三十九条第四款规定。,"    给予当事人人民币二十万元的行政处罚,责令对责任人王XX、程X、赖XX给予纪律处分。",    琼银监罚〔2012〕5号
"    当事人存在未按合同约定用途检查、监督信贷资金使用情况，信贷资金被挪用的违法违规行为,违反了《流动资金贷款管理暂行办法》第九条以及第二十四条相关规定。",2012年10月31日,中国银行业监督管理委员会海南监管局,null,-----,海口农村商业银行股份有限公司,赵俊,   《中华人民共和国银行业监督管理法》第四十六条第五款以及第四十八条第一款和《流动资金贷款管理暂行办法》第三十九条第六款、第七款的规定。,"    给予当事人人民币二十万元的行政处罚,责令对责任人徐XX、徐X、王XX和赵XX给予纪律处分。",    琼银监罚〔2012〕4号
"    当事人在信贷业务中存在借款合同文本中重要条款缺失，约定事项不全的违法违规行为,违反了《固定资产贷款管理暂行办法》第二十条的规定。",2011年10月26日,中国银行业监督管理委员会海南监管局,null,-----,中国银行股份有限公司海南省分行,王一林,   《固定资产贷款管理暂行办法》第三十九条第四款和《中华人民共和国银行业监督管理法》第四十六条第五款的规定。,给予当事人人民币二十五万元的行政处罚,    琼银监罚〔2011〕2号
"  当事人存在未经任职资格核准任命高级管理人员的违法行为,违反了《中华人民共和国银行业监督管理法》第二十条和《中华人民共和国商业银行法》第二十四条的规定。",2015年6月29日,中国银行业监督管理委员会海南监管局,null,-----,海口市农村信用合作联社,辛全龙,   《中华人民共和国银行业监督管理法》第四十六条第一款规定。,给予当事人人民币三十万元的行政处罚,  琼银监罚〔2015〕6号
   当事人存在以贷收费、质价不符的违法行为，违反了《中国银监会关于整治银行业金融机构不规范经营的通知》（银监发〔2012〕3号）的规定和《中华人民共和国商业银行法》第五十条的规定。,2015年2月2日,中国银行业监督管理委员会海南监管局,null,,交通银行海南省分行,王卫东,   《中华人民共和国商业银行法》第七十三条第四款规定。,给予当事人人民币二十万元的行政处罚,琼银监罚〔2015〕4号
  当事人在服务收费过程中存在质价不符的违法行为，违反了《中国银监会关于整治银行业金融机构不规范经营的通知》（银监发〔2012〕3号）的规定和《中华人民共和国商业银行法》第五十条的规定。,2015年1月26日,中国银行业监督管理委员会海南监管局,null,-------,中国农业银行股份有限公司海南省分行,韩明,  《中华人民共和国商业银行法》第七十三条第四款规定。,给予当事人人民币二十万元的行政处罚,琼银监罚〔2015〕3号 
