主要违法违规事实（案由）,作出处罚决定的日期,作出处罚决定的机关名称,处罚个人单位,处罚个人姓名,处罚单位名称,处罚单位法定代表人（主要负责人）姓名,行政处罚依据,行政处罚决定,行政处罚决定书文号
未按合同约定对贷款资金进行受托支付管理，导致贷款资金被挪用。,2016年12月22日,大连银监局,null,,盛京银行股份有限公司大连分行,张允,《流动资金贷款管理暂行办法》（银监会令〔2010〕1号）第九条、第二十七条、第三十条、第三十九条；中国银监会关于银行业服务实体经济的指导意见》（银监发〔2013〕9号）第七条；《中华人民共和国银行业监督管理法》第四十六条。,罚款二十万元人民币,大银监罚决字[ 2016]4号
贷款资金转保证金、转定期存单质押用于开立银行承兑汇票。,2016年10月8日,大连银监局,null,,营口银行股份有限公司大连分行,胡远洋,《中国银监会办公厅关于银行承兑汇票业务案件风险提示的通知》（银监办发〔2011〕206号）、《中国银监会办公厅关于防范融资中介非法介入银行信贷业务的通知》（银监办发〔2012〕137号）、《中华人民共和国银行业监督管理法》第四十六条。,罚款二十万元人民币,大银监罚决字[ 2016]3号
"贷后管理工作不到位，个人经营性贷款未按合同约定用途使用,贷款被挪用。",2015年11月20日,中国银监会大连监管局,null,--,瓦房店长兴村镇银行,姜春波,《个人贷款管理暂行办法》（中国银行业监督管理委员会令2010年第2号）第三十五条；《商业银行法》第三十五条、第四十二条；《中华人民共和国银行业监督管理法》第四十六条,罚款20万元,大银监罚决字〔2015〕9号
内控管理不到位，存在员工利用个人账户为客户过渡资金行为，严重违反审慎经营规则。,2015年11月20日,中国银监会大连监管局,null,--,瓦房店长兴村镇银行,姜春波,《中国银监会办公厅关于严禁银行业金融机构及其从业人员参与民间融资活动的通知》（银监办发【2012】160号）；《中国银监会办公厅关于加强银行业基层营业机构管理的通知》（银监办发【2013】245号；《中华人民共和国银行业监督管理法》第四十六条,罚款20万元,大银监罚决字〔2015〕8号
内控管理不到位，存在员工利用个人账户为客户过渡资金行为，严重违反审慎经营规则。,2015年11月18日,中国银监会大连监管局,null,--,大连农村商业银行股份有限公司,王国斌,《中国银监会办公厅关于严禁银行业金融机构及其从业人员参与民间融资活动的通知》（银监办发【2012】160号）；《中国银监会办公厅关于严禁农村中小金融机构参与民间融资活动的通知》（银监办发【2011】320号；《中华人民共和国银行业监督管理法》第四十六条,罚款20万元,大银监罚决字〔2015〕7号
在任大连农商银行高新园区龙王塘支行副行长(主持工作)期间，未对两笔合计2300万元贷款的抵押物房产权属的真实性进行认真调查，对2300万元贷款形成不良和损失负有直接责任。,2015年11月18日,中国银监会大连监管局,null,王家丹,----,----,《流动资金贷款管理暂行办法》（中国银行业监督管理委员会令2010年第1号）第十三条、《个人贷款管理暂行办法》（中国银行业监督管理委员会令2010年第2号）第十三条、第十四条，《商业银行法》第三十六条、第八十九条，《银行业监督管理法》第四十八条。,取消高级管理人员任职资格五年,大银监罚决字〔2015〕6号
未有效监督流动资金贷款的使用情况，贷款被挪用。,2015年11月16日,中国银监会大连监管局,null,--,中信银行股份有限公司大连分行,郭琦,《流动资金贷款管理暂行办法》（中国银行业监督管理委员会令2010年第1号）第九条、第三十条、第三十八条的规定，《中华人民共和国银行业监督管理法》第四十六条的规定。,罚款20万元,大银监罚决字〔2015〕5号
信贷管理不到位，以贷转存,2015年11月10日,中国银监会大连监管局,null,--,兴业银行股份有限公司大连分行,孟军,《固定资产贷款管理暂行办法》第三十三条，《中国银监会办公厅关于进一步加强信贷管理的通知》，《中国银监会关于整治银行业金融机构不规范经营的通知》，《中华人民共和国银行业监督管理法》第四十六条。,罚款20万元,大银监罚决字〔2015〕4号
以贷转存发放存单质押贷款虚增存贷款规模,2015年10月27日,中国银监会大连监管局,null,--,吉林银行股份有限公司大连分行,梁晓,《中国银监会关于整治银行业金融机构不规范经营的通知》（银监发〔2012〕3号），《中国银监会办公厅关于进一步加强信贷管理的通知》（银监办发〔2009〕221号），《中华人民共和国银行业监督管理法》第四十六条,罚款45万元,大银监罚决字〔2015〕3号
以贷转保证金开票,2015年10月27日,中国银监会大连监管局,null,--,哈尔滨银行股份有限公司大连分行,栾学利,《关于加强商业银行存款偏离度管理有关事项的通知》（银监办发〔2014〕236号）第二条，《中华人民共和国银行业监督管理法》第四十六条。,罚款20万元,大银监罚决字〔2015〕2号
以贷转存单质押开票,2015年10月27日,中国银监会大连监管局,null,--,丹东银行股份有限公司大连分行,于浩然,"《关于加强商业银行存款偏离度管理有关事项的通知》（银监办发〔2014〕236号）第二条
《中华人民共和国银行业监督管理法》第四十六条",罚款20万元,大银监罚决字〔2015〕1号
发放的中长期项目贷款资金由贷款转为银承保证金存款后，又通过开立银行承兑汇票、背书回开票企业，并由开票企业在他行贴现。,2015年10月12日,中国银监会大连监管局,null,--,国家开发银行大连市分行,曾丽卿,《中华人民共和国银行业监督管理法》第二十一条、第四十六条，《中国银监会办公厅关于进一步加强信贷管理的通知》（银监办发【2009】221号），《关于加强商业银行存款偏离度管理有关事项的通知》（银监办发【2014】236号），《中国银监会办公厅关于银行承兑汇票业务案件风险提示的通知》（银监办发【2011】206号）。,罚款45万元,大银监罚〔2015〕026号
贷后管理不到位，发放的贷款资金被借款人违规挪用。,2015年9月29日,中国银监会大连监管局,null,--,中国邮政储蓄银行股份有限公司大连分行,彭作刚,《流动资金贷款管理暂行办法》（中国银行业监督管理委员会令2010年第1号）第九条、第三十一条、第三十八条、第三十九条的规定；《中华人民共和国银行业监督管理法》第四十六条的规定。,罚款20万元,大银监罚〔2015〕025号
未按公布的收费价格目录收费。,2015年9月15日,中国银监会大连监管局,null,--,瑞穗银行（中国）有限公司大连分行,铃木完 ,《商业银行法》第五十条、《中国银监会关于整治银行业金融机构不规范经营的通知》（银监发【2012】3号）、《商业银行法》第七十三条。,罚款20万元,大银监罚〔2015〕022号
非法返利吸收存款。,2015年9月15日,中国银监会大连监管局,null,--,中国邮政储蓄银行股份有限公司大连分行,彭作刚,《中华人民共和国银行业监督管理法》第四十六条的规定；《中国银行业监督管理委员会办公厅关于规范市场竞争、严禁高息揽存的通知》（银监办发【2010】248号）。,罚款20万元,大银监罚〔2015〕023号
违规为他行同业投资业务提供隐性担保，且未记账。,2015年4月20日,中国银监会大连监管局,null,--,大连银行第一中心支行,夏立国,《中国人民共和国银行业监督管理法》第二十一条；《商业银行表外业务管理指引》第十四条；《关于有效防范企业债担保风险的意见》（银监发【2007】75号）第三条；《中国银监会大连监管局关于严格大连银行相关业务准入的监管意见》（大银监发【2013】86号）第二条；《中华人民共和国银行业监督管理法》第四十六条。,罚款20万元,大银监罚〔2015〕008号
未对同业业务收费标准进行公示。,2015年3月23日,中国银监会大连监管局,null,--,锦州银行大连分行,路思伟,《中国银监会关于整治银行业金融机构不规范经营的通知》（银监发【2012】3号）；《中华人民共和国银行业监督管理法》第四十六条。,罚款20万元,大银监罚〔2015〕007号
转嫁房屋登记费。,2015年3月20日,中国银监会大连监管局,null,--,中国银行辽宁省分行,黄志强,《国家发改委、财政部关于规范房屋登记费计费方式和收费标准等有关问题的通知》（发改价格【2008】924号）第五条；《中国银监会关于整治银行业金融机构不规范经营的通知》（银监发【2012】3号）第一条；《中华人民共和国银行业监督管理法》第四十六条。,罚款30万元,大银监罚〔2015〕006号
违规收取财务顾问费。,2015年3月18日,中国银监会大连监管局,null,--,大连农村商业银行股份有限公司,王国斌,《中国银监会关于整治银行业金融机构不规范经营的通知》（银监发【2012】3号），《中华人民共和国银行业监督管理法》第四十六条。,罚款20万元,大银监罚〔2015〕005号
违规发放用于固定资产项目建设前期投入的流动资金贷款。,2011年12月21日,中国银监会大连银监局,null,,日本山口银行股份有限公司大连分行,桧 垣 裕 文,《流动资金贷款管理暂行办法》（中国银行业监督管理委员会令2010年第1号）第九条、第三十九条的规定；《中华人民共和国银行业监督管理法》第四十六条的规定；《中国银监会关于规范银行业金融机构搭桥贷款业务的通知》（银监发[2010]35号）的规定。,罚款人民币二十万元,大银监罚〔2011〕 1号
